strongs_number,original_word,testament,language,part_of_speech,english_meaning,telugu_meaning,occurrences
H979,בְּחוּרוֹת בְּחוּרוֹת בְּחוּרִים,Old Testament,Hebrew,noun,youth.,,3
H980,בַּחוּרִים בַּחוּרִים,Old Testament,Hebrew,noun location,a place in Israel,,5
H981,בָּטָא בָּטָה,Old Testament,Hebrew,verb,speak (unadvisedly).,,4
H982,בָּטַח,Old Testament,Hebrew,verb,be confident or sure,,120
H983,בֶּטַח,Old Testament,Hebrew,noun,"(often, adverb with or without preposition) safely",,42
H984,בֶּטַח,Old Testament,Hebrew,noun location,a place in Syria,,1
H985,בִּטחָה,Old Testament,Hebrew,noun,trust,,1
H986,בִּטָּחוֹן,Old Testament,Hebrew,noun,hope.,,3
H987,בַּטּוּחוֹת,Old Testament,Hebrew,noun,security,,1
H988,בָּטֵל,Old Testament,Hebrew,verb,to desist from labor,,1
A989,בְּטֵל,Old Testament,Aramaic,verb,"make to), cease, hinder.",,6
H990,בֶּטֶן,Old Testament,Hebrew,noun,also the bosom or body of anything,,72
H991,בֶּטֶן,Old Testament,Hebrew,noun location,Beten. a place in Israel,,1
H992,בּוֹטֶן,Old Testament,Hebrew,noun,(only in plural) a pistachio-nut (from its form),,1
H993,בְּטוֹנִים,Old Testament,Hebrew,noun location,hollows,,1
H994,בִּי,Old Testament,Hebrew,verb,"(used only adverbially, always with ""my Lord""); O, Oh that!, with leave, or if it pleases (my lord)",,12
H995,בִּין,Old Testament,Hebrew,verb,"consider, be cunning, diligently, direct, discern, eloquent, feel, inform, instruct, have intelligence, know, look well to, mark, perceive, be prudent, regard, (can) skill(-full), teach, think, (cause, make to, get, give, have) understand(-ing), view, (deal) wise(-ly, man).",,171
H996,בֵּין,Old Testament,Hebrew,preposition,(also as a conjunction) either...or,,410
A997,בֵּין,Old Testament,Aramaic,preposition,between,,3
H998,בִּינָה,Old Testament,Hebrew,noun,"meaning, X perfectly, understanding, wisdom.",,38
A999,בִּינָה,Old Testament,Aramaic,noun,knowledge,,1
H1000,בֵּיצָּה,Old Testament,Hebrew,noun,an egg (from its whiteness),,6
A1001,בִּירָא,Old Testament,Aramaic,noun,a palace,,1
H1002,בִּירָה,Old Testament,Hebrew,noun,a castle or palace,,16
H1003,בִּירָנִיתּ,Old Testament,Hebrew,noun,a fortress,,2
H1004,בַּיִת,Old Testament,Hebrew,noun,"especially family, etc.)",,2056
A1005,בַּיִת,Old Testament,Aramaic,noun,house,,44
H1006,בַּיִת,Old Testament,Hebrew,noun location,a place in Israel,,1
H1007,בֵּיתּ אָוֶן,Old Testament,Hebrew,noun location,a place in Israel,,7
H1008,בֵּיתּ ־ אֵל,Old Testament,Hebrew,noun location,a place in Israel,,72
H1009,בֵּיתּ אַרבֵּאל,Old Testament,Hebrew,noun location,a place in Israel,,1
H1010,בֵּיתּ בַּעַל מְעוֹן בֵּיתּ מְעוֹן,Old Testament,Hebrew,noun location,a place in Israel,,2
H1011,בֵּיתּ בִּראִי,Old Testament,Hebrew,noun location,a place in Israel,,1
H1012,בֵּיתּ בָּרָה,Old Testament,Hebrew,noun location,a place in Israel,,2
H1013,בֵּיתּ ־ גָּדֵר,Old Testament,Hebrew,noun location,a place in Israel,,1
H1014,בֵּיתּ גָּמוּל,Old Testament,Hebrew,noun location,a place East of the Jordan,,1
H1015,בֵּיתּ דִּבלָתַיִם,Old Testament,Hebrew,noun location,a place East of the Jordan,,1
H1016,בֵּיתּ ־ דָּגוֹן,Old Testament,Hebrew,noun location,the name of two places in Israel,,2
H1017,בֵּיתּ הָאֱלִי,Old Testament,Hebrew,adjective,or inhabitant of Bethel,,1
H1018,בֵּיתּ הָאֵצֶל,Old Testament,Hebrew,noun location,a place in Israel,,1
H1019,בֵּיתּ הַגִּלגָּל,Old Testament,Hebrew,noun location,a place in Israel,,1
H1020,בֵּיתּ הַיְשִׁימוֹת,Old Testament,Hebrew,noun location,a town East of the Jordan,,4
H1021,בֵּיתּ הַך ־ כֶּרֶם,Old Testament,Hebrew,noun location,a place in Israel,,2
H1022,בֵּיתּ הַלַּחמִי,Old Testament,Hebrew,adjective,or native of Bethlechem,,4
H1023,בֵּיתּ הַמֶּרחָק,Old Testament,Hebrew,noun location,a place in Israel,,2
H1024,בֵּיתּ הַמַּרכָּבוֹת בֵּיתּ מַרכָּבוֹת,Old Testament,Hebrew,noun location,a place in Israel,,2
H1025,בֵּיתּ הָעֵמֶק,Old Testament,Hebrew,noun location,a place in Israel,,1
H1026,בֵּיתּ הָעֲרָבָה,Old Testament,Hebrew,noun location,a place in Israel,,3
H1027,בֵּיתּ הָרָם,Old Testament,Hebrew,noun location,a place East of the Jordan,,1
H1028,בֵּיתּ הָרָן,Old Testament,Hebrew,noun location,a place East of the Jordan,,1
H1029,בֵּיתּ הַשִּׁטָּה,Old Testament,Hebrew,noun location,a place in Israel,,1
H1030,בֵּיתּ הַשִּׁמשִׁי,Old Testament,Hebrew,adjective,or inhabitant of Bethshemesh,,2
H1031,בֵּיתּ חָגלָה,Old Testament,Hebrew,noun location,a place in Israel,,3
H1032,בֵּיתּ חוֹרוֹן,Old Testament,Hebrew,noun location,the name of two adjoining places in Israel,,14
H1033,בֵּיתּ כַּר,Old Testament,Hebrew,noun location,a place in Israel,,1
H1034,בֵּיתּ לְבָאוֹת,Old Testament,Hebrew,noun location,a place in Israel,,1
H1035,בֵּיתּ לֶחֶם,Old Testament,Hebrew,noun location,a place in Israel,,41
H1036,בֵּיתּ לְעַפרָה,Old Testament,Hebrew,noun location,a place in Israel,,1
H1037,בֵּיתּ מִלּוֹא בֵּיתּ מִלּוֹא,Old Testament,Hebrew,noun location,the name of two citadels,,4
H1038,בֵּיתּ מַעֲכָה,Old Testament,Hebrew,noun location,a place in Israel,,1
H1039,בֵּיתּ נִמרָה,Old Testament,Hebrew,noun location,a place east of the Jordan,,2
H1040,בֵּיתּ עֵדֶן,Old Testament,Hebrew,noun location,a place in Syria,,1
H1041,בֵּיתּ עַזמָוֶת,Old Testament,Hebrew,noun location,a place in Israel,,1
H1042,בֵּיתּ עֲנוֹת,Old Testament,Hebrew,noun location,a place in Israel,,1
H1043,בֵּיתּ עֲנָת,Old Testament,Hebrew,noun location,a place in Israel,,3
H1044,בֵּיתּ עֵקֶד,Old Testament,Hebrew,noun location,a place in Israel,,2
H1045,בֵּיתּ עַשׁתָּרוֹת,Old Testament,Hebrew,noun location,a place in Israel,,1
H1046,בֵּיתּ פֶּלֶט,Old Testament,Hebrew,noun location,a place in Israel,,2
H1047,בֵּיתּ פְּעוֹר,Old Testament,Hebrew,noun location,a place East of the Jordan,,4
H1048,בֵּיתּ פַּצֵּץ,Old Testament,Hebrew,noun location,a place in Israel,,1
H1049,בֵּיתּ צּוּר,Old Testament,Hebrew,noun location,a place in Israel,,4
H1050,בֵּיתּ רְחוֹב,Old Testament,Hebrew,noun location,a place in Israel,,1
H1051,בֵּיתּ רָפָא,Old Testament,Hebrew,noun proper,an Israelite,,1
H1052,בֵּיתּ שְׁאָן בֵּיתּ שָׁן,Old Testament,Hebrew,noun location,a place in Israel,,9
H1053,בֵּיתּ שֶׁמֶשׁ,Old Testament,Hebrew,noun location,a place in Israel,,21
H1054,בַּיתּ תַּפּוַּח,Old Testament,Hebrew,noun location,a place in Israel,,1
H1055,בִּיתָּן,Old Testament,Hebrew,noun,a palace (i.e. large house),,3
H1056,בָּכָא,Old Testament,Hebrew,noun location,a valley in Israel,,1
H1057,בָּכָא,Old Testament,Hebrew,noun,perhaps the balsam),,4
H1058,בָּכָה,Old Testament,Hebrew,verb,"bewail, complain, make lamentation, X more, mourn, X sore, X with tears, weep.",ఏడవడానికి; (సాధారణంగా) విలపించుట,116
H1059,בֶּכֶה,Old Testament,Hebrew,noun,a weeping,,1
H1060,בְּכוֹר,Old Testament,Hebrew,noun,firstborn(-ling).,,118
H1061,בִּכּוּר,Old Testament,Hebrew,noun,hasty fruit.,,18
H1062,בְּכוֹרָה בְּכוֹרָה,Old Testament,Hebrew,noun,firstborn(-ling).,,14
H1063,בִּכּוּרָה,Old Testament,Hebrew,noun,the early fig,,2
H1064,בְּכוֹרַת,Old Testament,Hebrew,noun proper,an Israelite,,1
H1065,בְּכִי,Old Testament,Hebrew,noun,a dripping,,28
H1066,בּוֹכִּים,Old Testament,Hebrew,noun location,a place in Israel,,2
H1067,בְּכִירָה,Old Testament,Hebrew,noun,the eldest daughter,,6
H1068,בְּכִיתּ,Old Testament,Hebrew,noun,a weeping,,1
H1069,בָּכַר,Old Testament,Hebrew,verb,as denominative from H1061) to give the birthright,,4
H1070,בֶּכֶר,Old Testament,Hebrew,noun,a young camel,,1
H1071,בֶּכֶר,Old Testament,Hebrew,noun proper,the name of two Israelites,,5
H1072,בִּכרָה,Old Testament,Hebrew,noun,a young she-camel,,1
H1073,בַּכּוּרָה,Old Testament,Hebrew,noun,a first- ripe fig,,1
H1074,בּוֹכְרוּ,Old Testament,Hebrew,noun proper,an Israelite,,2
H1075,בִּכרִי,Old Testament,Hebrew,noun proper,an Israelite,,8
H1076,בַּכרִי,Old Testament,Hebrew,adjective,a Bakrite (collectively) or descendants of Beker,,1
H1077,בַּל,Old Testament,Hebrew,verb,adverb) not at all,,69
H1078,בֵּל,Old Testament,Hebrew,noun proper,the Baal of the Babylonians,,3
A1079,בָּל,Old Testament,Aramaic,noun,(properly) anxiety; (by implication) the heart (as its seat),,1
A1080,בְּלָא,Old Testament,Aramaic,verb,to afflict,,1
H1081,בַּלאֲדָן,Old Testament,Hebrew,noun proper,the name of a Babylonian prince,,2
H1082,בָּלַג,Old Testament,Hebrew,verb,(recover) strength(-en).,,4
H1083,בִּלגָּה,Old Testament,Hebrew,noun proper,the name of two Israelites,,3
H1084,בִּלגַּי,Old Testament,Hebrew,noun proper,an Israelite,,1
H1085,בִּלדַּד,Old Testament,Hebrew,noun proper,one of Job's friends,,5
H1086,בָּלָה,Old Testament,Hebrew,verb,"decay (causatively, consume, spend)",,17
H1087,בָּלֶה,Old Testament,Hebrew,adjective,worn out,,5
H1088,בָּלָה,Old Testament,Hebrew,noun location,a place in Israel,,1
H1089,בָּלַה,Old Testament,Hebrew,verb,to palpitate; (hence) (causatively) to terrify,,1
H1090,בִּלהָה,Old Testament,Hebrew,noun proper,also of a place in Israel,,11
H1091,בַּלָּהָה,Old Testament,Hebrew,noun,trouble.,,10
A1092,בִּלהָן,Old Testament,Aramaic,noun proper,the name of an Edomite and of an Israelite,,4
A1093,בְּלוֹ,Old Testament,Aramaic,noun,excise (on articles consumed),,3
H1094,בְּלוֹא בְּלוֹי,Old Testament,Hebrew,noun,(only in plural construction) rags,,3
H1095,בֵּלטְּשַׁאצַּר,Old Testament,Hebrew,noun proper,the Babylonian name of Daniel,,2
A1096,בֵּלטְּשַׁאצַּר,Old Testament,Aramaic,noun proper,Belteshazzar,,8
H1097,בְּלִי,Old Testament,Hebrew,verb,"with preposition) without, not yet, because not, as long as, etc",,58
H1098,בְּלִיל,Old Testament,Hebrew,noun,"fodder, provender.",,3
H1099,בְּלִימָה,Old Testament,Hebrew,noun,H4100,,1
H1100,בְּלִיַעַל,Old Testament,Hebrew,noun,"by extension, destruction, wickedness (often in connection with H0376, H0802, H1121, etc.)",,27
H1101,בָּלַל,Old Testament,Hebrew,verb,denominatively from H1098) to fodder,,44
H1102,בָּלַם,Old Testament,Hebrew,verb,to muzzle,,1
H1103,בָּלַס,Old Testament,Hebrew,verb,to pinch sycamore figs (a process necessary to ripen them),,1
H1104,בָּלַע,Old Testament,Hebrew,verb,(generally) to destroy,,50
H1105,בֶּלַע,Old Testament,Hebrew,noun,that which he hath swallowed up.,,2
H1106,בֶּלַע,Old Testament,Hebrew,noun location,"the name of a place, also of an Edomite and of two Israelites",,14
H1107,בִּלעֲדֵי בַּלעֲדֵי,Old Testament,Hebrew,particle,"without, besides",,17
H1108,בַּלעִי,Old Testament,Hebrew,adjective,Belaites,,1
H1109,בִּלעָם,Old Testament,Hebrew,noun location,a Mesopotamian prophet,,61
H1110,בָּלַק,Old Testament,Hebrew,verb,to annihilate,,2
H1111,בָּלָק,Old Testament,Hebrew,noun proper,a Moabitish king,,43
H1112,בֵּלשַׁאצַּר בֵּלאשַׁצַר,Old Testament,Hebrew,noun proper,a Babylonian king,,1
A1113,בֵּלשַׁאצַּר,Old Testament,Aramaic,noun proper,Belshazzar,,7
H1114,בִּלשָׁן,Old Testament,Hebrew,noun proper,an Israelite,,2
H1115,בִּלתִּי,Old Testament,Hebrew,adjective,"usually with a prepositional prefix) not, except, without, unless, besides, because not, until, etc",,112
H1116,בָּמָה,Old Testament,Hebrew,noun,"high place, wave.",,105
H1117,בָּמָה,Old Testament,Hebrew,noun location,a place in Israel,,1
H1118,בִּמהָל,Old Testament,Hebrew,noun proper,an Israelite,,1
H1119,בְּמוֹ,Old Testament,Hebrew,preposition,"with, by, etc",,10
H1120,בָּמוֹת בָּמוֹת בַּעַל,Old Testament,Hebrew,noun location,a place East of the Jordan,,4
H1121,בֵּן,Old Testament,Hebrew,noun,"in the widest sense (of literal and figurative relationship, including grandson, subject, nation, quality or condition, etc., (like H0001 H0251, etc.))","ఒక కొడుకు (కుటుంబ పేరు యొక్క బిల్డర్‌గా), విశాలమైన అర్థంలో (మనవడు, విషయం, దేశం, నాణ్యత లేదా స్థితి మొదలైన వాటితో సహా సాహిత్య మరియు అలంకారిక సంబంధం, (H0001 H0251, మొదలైనవి వంటివి))",4926
H1122,בֵּן,Old Testament,Hebrew,noun proper,an Israelite,,1
A1123,בֵּן,Old Testament,Aramaic,noun,"son, young",,11
A1124,בְּנָא בְּנָה,Old Testament,Aramaic,verb,make.,,22
H1125,בֶּן ־ אֲבִינָדָב,Old Testament,Hebrew,noun proper,an Israelite,,2
H1126,בֶּן ־ אוֹנִי,Old Testament,Hebrew,noun proper,the original name of Benjamin,,1
H1127,בֶּן ־ גֶּבֶר,Old Testament,Hebrew,noun proper,an Israelite,,2
H1128,בֶּן ־ דֶּקֶר,Old Testament,Hebrew,noun proper,an Israelite,,2
H1129,בָּנָה,Old Testament,Hebrew,verb,"obtain children, make, repair, set (up), X surely.",,377
H1130,בֶּן ־ הֲדַד,Old Testament,Hebrew,noun proper,the name of several Syrian kings,,25
H1131,בִּנּוּי,Old Testament,Hebrew,noun proper,an Israelite,,6
H1132,בֶּן ־ זוֹחֵת,Old Testament,Hebrew,noun proper,an Israelite,,1
H1133,בֶּן ־ חוּר,Old Testament,Hebrew,noun proper,an Israelite,,2
H1134,בֶּן ־ חַיִל,Old Testament,Hebrew,noun proper,an Israelite,,1
H1135,בֶּן ־ חָנָן,Old Testament,Hebrew,noun proper,an Israelite,,1
H1136,בֶּן ־ חֶסֶד,Old Testament,Hebrew,noun proper,an Israelite,,2
H1137,בָּנִי,Old Testament,Hebrew,noun proper,the name of five Israelites,,17
H1138,בּוּנִּי בּוּנִי,Old Testament,Hebrew,noun proper,an Israelite,,3
H1139,בְּנֵי ־ בְּרַק,Old Testament,Hebrew,noun location,"Bene-berak, a place in Israel",,1
H1140,בִּניָה,Old Testament,Hebrew,noun,a structure,,1
H1141,בְּנָיָה בְּנָיָהוּ,Old Testament,Hebrew,noun proper,the name of twelve Israelites,,42
H1142,בְּנֵי יַעֲקָן,Old Testament,Hebrew,noun location,a place in the Desert,,2
H1143,בֵּנַיִם,Old Testament,Hebrew,substantive,a double interval; the space between two armies,,2
H1144,בִּניָמִין,Old Testament,Hebrew,noun proper,"also the tribe descended from him, and its territory",,167
H1145,בֶּן ־ יְמִינִי בֶּן ־ הַ ־ יְמִנִי בֶּן ־ אִישׁ יְמִינִי,Old Testament,Hebrew,adjective,or descendent of Benjamin,,22
H1146,בִּניָן,Old Testament,Hebrew,noun,an edifice,,7
A1147,בִּניָן,Old Testament,Aramaic,noun,building,,1
H1148,בְּנִינוּ,Old Testament,Hebrew,noun proper,an Israelite,,1
A1149,בְּנַס,Old Testament,Aramaic,verb,to be enraged,,1
H1150,בִּנעָא בִּנעָה,Old Testament,Hebrew,noun proper,an Israelite,,2
H1151,בֶּן ־ עַמִּי,Old Testament,Hebrew,noun proper,a son of Lot,,1
H1152,בְּסוֹדְיָה,Old Testament,Hebrew,noun proper,an Israelite,,1
H1153,בְּסַי,Old Testament,Hebrew,noun proper,one of the Nethinim,,2
H1154,בֶּסֶר,Old Testament,Hebrew,noun,an immature grape,,1
H1155,בּוֹסֶר,Old Testament,Hebrew,noun,sour grape,,4
A1156,בְּעָא בְּעָה,Old Testament,Aramaic,verb,"desire, make (petition), pray, request, seek.",,12
H1157,בְּעַד,Old Testament,Hebrew,preposition,"beside, among, behind, for, etc",,105
H1158,בָּעָה,Old Testament,Hebrew,verb,"inquire, seek up, swell out.",,5
A1159,בָּעוּ,Old Testament,Aramaic,noun,a request,,2
H1160,בְּעוֹר,Old Testament,Hebrew,noun proper,also of that of Balaam,,10
H1161,בִּעוּתִים,Old Testament,Hebrew,noun,alarms,,2
H1162,בּוֹעַז,Old Testament,Hebrew,noun proper,also the name of a pillar in front of the temple,,24
H1163,בָּעַט,Old Testament,Hebrew,verb,to trample down; (figuratively) despise,,2
H1164,בְּעִי,Old Testament,Hebrew,noun,a prayer,,1
H1165,בְּעִיר,Old Testament,Hebrew,noun,cattle,,7
H1166,בָּעַל,Old Testament,Hebrew,verb,"be husband, marry(-ried, X wife).",,15
H1167,בַּעַל,Old Testament,Hebrew,noun,or (figuratively) owner (often used with another noun in modifications of this latter sense),,84
H1168,בַּעַל,Old Testament,Hebrew,noun location,a Phoenician deity,,80
A1169,בְּעֵל,Old Testament,Aramaic,noun,+ chancellor,,3
H1170,בַּעַל בְּרִיתּ,Old Testament,Hebrew,noun proper,a special deity of the Shechemites,,2
H1171,בַּעַל גָּד,Old Testament,Hebrew,noun location,a place in Syria,,3
H1172,בַּעֲלָה,Old Testament,Hebrew,noun,mistress.,,4
H1173,בַּעֲלָה,Old Testament,Hebrew,noun location,the name of three places in Israel,,5
H1174,בַּעַל הָמוֹן,Old Testament,Hebrew,noun location,a place in Israel,,1
H1175,בְּעָלוֹת,Old Testament,Hebrew,noun location,a place in Israel,,2
H1176,בַּעַל זְבוּב,Old Testament,Hebrew,noun proper,a special deity of the Ekronites,,4
H1177,בַּעַל חָנָן,Old Testament,Hebrew,noun proper,"the name of an Edomite, also of an Israelite",,5
H1178,בַּעַל חָצוֹר,Old Testament,Hebrew,noun location,a place in Israel,,1
H1179,בַּעַל חֶרמוֹן,Old Testament,Hebrew,noun location,a place in Israel,,2
H1180,בַּעֲלִי,Old Testament,Hebrew,noun,a symbolical name for Jehovah,,1
H1181,בַּעֲלֵי בָּמוֹת,Old Testament,Hebrew,noun,a place East of the Jordan,,1
H1182,בְּעֶליָדָע,Old Testament,Hebrew,noun proper,an Israelite,,1
