strongs,word,occurrences,english_meaning,telugu_meaning
H325,אֲחַשׁוֵרוֹשׁ אַחַשׁרוֹשׁ,32,"but in this case Xerxes), the title (rather than name) of a Persian king",
H591,אָנִיָה,32,a ship,
H759,אַרמוֹן,32,palace.,
H1436,גְּדַליָה גֶּדַליָהוּ,32,the name of five Israelites,
H1840,דָּנִיֵאל דָּנִאֵל,32,the name of two Israelites,
H2474,חַלּוֹן,32,window,
H2600,חִנָּם,32,"i.e. devoid of cost, reason or advantage",
H2876,טַּבָּח,32,guard.,
H2898,טּוּב,32,(especially) goodness; (superlative concretely) the best,
H3243,יָנַק,32,to give milk,
H3582,כָּחַד,32,hence (intensively) to destroy,
H3611,כֶּלֶב,32,or else to attack],
H3715,כְּפִיר,32,village.,
H3972,מְאוּמָה,32,nothing,
H4219,מִזרָק,32,bowl.,
H4283,מָחֳרָת מָחֳרָתָם,32,next day.,
H4643,מַעֲשֵׂר מַעֲשַׂר מַעַשׂרָה,32,tithe(-ing).,
H4676,מַצֵּבָה,32,"by analogy, an idol",
H5592,סַף,32,in its original sense of containing],
H5594,סָפַד,32,to wail,
H5645,עָב,32,"specifically, a (scud) cloud; also a copse",
H5774,עוּף,32,עוף,
H5980,עוּמָּה,32,"mostly adverb or preposition (with prepositional prefix), near, beside, along with",
H6442,פְּנִימִי,32,- ward).,
H6486,פְּקוּדָּה,32,chiefly official),
H6591,פְּשַׁר,32,pshar (pesh-ar') n-m. 1. an interpretation [(Aramaic) from H6590] KJV: interpretation.  Root(s): H6590,
H6643,צְּבִי,32,"glorious (-ry), goodly, pleasant, roe(-buck).",
H6955,קְהָת,32,an Israelite,
H7065,קָנָא,32,"make) zealous, i.e. (in a bad sense) jealous or envious",
H7262,רַבשָׁקֵה,32,a Bab. official,
H7416,רִמּוֹן רִמּוֹן,32,the tree (from its upright growth) or the fruit (also an artificial ornament),
H7887,שִׁילוֹה שִׁלוֹה שִׁילוֹ שִׁלוֹ,32,a place in Israel,
H8426,תּוֹדָה,32,"specifically, a choir of worshippers","(సరిగ్గా) చేతి యొక్క పొడిగింపు; (సూచన ద్వారా) అవోవల్, లేదా (సాధారణంగా) ఆరాధన"
H676,אֶצבַּע,31,toe.,
H1406,גָּג,31,the top of an altar,
H1497,גָּזַל,31,strip or rob,
H2370,חֲזָא חֲזָה,31,"chaza' (khaz-aw') ((Aramaic) or chazah (Aramaic) {khaz-aw'}) v. 1. to gaze upon 2. mentally to dream, be usual (i.e. seem) [corresponding to H2372] KJV: behold, have (a dream), see, be wont.  Root(s): H2372",
H2563,חוֹמֶר,31,"of earth, mire or clay (cement); also a heap",
H2919,טַּל,31,dew (as covering vegetation),
H2934,טָּמַן,31,"lay privily, in secret.",
H3123,יוֹנָה,31,pigeon.,
H3213,יָלַל,31,be howling.,
H3341,יָצַת,31,"be desolate, set (on) fire ((fire)), kindle.",
H3629,כִּליָה,31,reins.,
H4327,מִין,31,i.e. species,
H5003,נָאַף,31,"commit(-ing) adultery, woman that breaketh wedlock.",
H5087,נָדַר,31,to do or give something to God),
H5090,נָהַג,31,(reflexively) to proceed (i.e. to impel or guide oneself); (from the panting induced by effort) to sigh,
H5175,נָחָשׁ,31,a snake (from its hiss),
H5521,סוּכָּה,31,"cottage, covert, pavilion, tabernacle, tent.",
H6099,עָצוּם עָצוּם,31,"great, mighty, must, strong.",
H7857,שָׁטַף,31,"(by analogy) to gallop, conquer",
H8071,שִׂמלָה,31,especially a mantle,
H54,אֶביָתָר,30,an Israelite,
H543,אָמֵן,30,truly,
H1314,בֶּשֶׂם בּוֹשֶׂם,30,"spice, sweet (odour).",
H1322,בּוֹשֶׁת,30,"(by implication, specifically) an idol",
H1819,דָּמָה,30,"liken, consider",
H1826,דָּמַם,30,(also) to perish,
H1926,הָדָר,30,i.e. ornament or splendor,
H2406,חִטָּה,30,whether the grain or the plant,
H3316,יִפתָּח,30,also a place in Israel,
H3411,יְרֵכָה,30,"i.e. ""ends of the earth""",
H3568,כּוּשׁ,30,also of an Israelite,
H3639,כְּלִמָּה,30,"dishonour, reproach, shame.",
H3978,מַאֲכָל,30,flesh and fruit),
H5126,נוּן נוֹן,30,"Nun or Non, the father of Joshua",
H5867,עֵילָם עוֹלָם,30,"Elam, a son of Shem and his descendants, with their country; also of six Israelites",
H6032,עֲנָה,30,"`anah (an-aw') v. 1. answer, speak [(Aramaic) corresponding to H6030]  Root(s): H6030",
H6459,פֶּסֶל,30,an idol,
H7257,רָבַץ,30,"be implication, to recline, repose, brood, lurk, imbed",
H7259,רִבקָה,30,the wife of Isaac,
H7493,רָעַשׁ,30,"also a field of grain), partic. through fear; specifically, to spring (as a locust)",
H7562,רֶשַׁע,30,wicked(-ness).,
H7621,שְׁבוּעָה,30,i.e. an oath,
H8573,תְּנוּפָה,30,the official undulation of sacrificial offerings,
H607,אַנתָּה,29,"antah (an-taw') p/p. 1. thou [(Aramaic) corresponding to H859] KJV: as for thee, thou.  Root(s): H859",
H974,בָּחַן,29,"prove, tempt, try (trial).",
H1259,בָּרָד,29,hail,
H2154,זִמָּה זַמָּה,29,especially a bad one,
H2254,חָבַל,29,"specifically, by a pledge; (figuratively) to pervert, destroy",
H2266,חָבַר,29,"be compact, couple (together), have fellowship with, heap up, join (self, together), league.",
H2492,חָלַם,29,חלם,
H2513,חֶלקָה,29,"flattering(-ry), ground, parcel, part, piece of land (ground), plat, portion, slippery place, smooth (thing).",
H2608,חֲנַניָה חֲנַניָהוּ,29,the name of thirteen Israelites,
H2689,חֲצוֹצְרָה,29,a trumpet (from its sundered or quavering note),
H3088,יְהוֹרָם,29,the name of a Syrian and of three Israelites,
H3259,יָעַד,29,betroth,
H3442,יֵשׁוַּע,29,"the name of ten Israelites, also of a place in Israel",
H3577,כָּזָב,29,"false, leasing, + liar, lie, lying.",
H3801,כְּתוֹנֶת כּוּתּתּוֹנֶת,29,"garment, robe.",
H3836,לָבָן לָבֵן,29,white,
H4296,מִטָּה,29,"a sofa, litter or bier",
H4513,מָנַע,29,"keep (back), refrain, restrain, withhold.",
H4604,מַעַל,29,i.e. sin,
H5079,נִדָּה,29,"incest, adultery, etc.)",
H6224,עֲשִׂירִי,29,tenth month or (feminine) part,
H6260,עַתּתּוּד עַתּתּוּד,29,"spoken only (in plural) of he-goats, or (figuratively) leaders of the people",
H6438,פִּנָּה,29,"chief, corner, stay, tower.",
H6509,פָּרָה,29,"bring forth (fruit), (be, cause to be, make) fruitful, grow, increase.",
H6903,קְבֵל קֳבֵל,29,"qbel (keb-ale') ((Aramaic) or qobel (Aramaic) {kob-ale'}) prep. 1. (adverbially) in front of 2. usually (with other particles) on account of, so as, since, hence [corresponding to H6905] KJV: + according to, + as, + because, before, + for this cause, + forasmuch as, + by this means, over against, by reason of, + that, + therefore, + though, + wherefore.  Root(s): H6905",
H7110,קֶצֶף,29,"indignation, X sore, wrath.",
H8213,שָׁפֵל,29,"to humiliate, intransitive or transitive)",
H8300,שָׂרִידּ,29,"left, remain(- ing), remnant, rest.",
H183,אָוָה,28,"(greatly) desire, be desirous, long, lust (after).",
H550,אַמנוֹן אֲמִינוֹן,28,a son of David,
H1065,בְּכִי,28,a dripping,
H1201,בַּעשָׁא,28,a king of Israel,
H1310,בָּשַׁל,28,"boil, bring forth, roast, seethe, sod (be sodden).",
H2426,חֵיל חֵל,28,"bulwark, host, + poor, rampart, trench, wall.",
H2449,חָכַם,28,"teach wisdom, be (make self, shew self) wise, deal (never so) wisely, make wiser",
H2498,חָלַף,28,"pass on, spring up, pierce or change",
H2895,טּוֹב,28,"cheer, be (do, seem) good, (make) goodly, X please, (be, do, go, play) well",
H3052,יְהַב,28,"yhab (yeh-hab') v. 1. (literal or figurative) to give [(Aramaic) corresponding to H3051] KJV: deliver, give, lay, + prolong, pay, yield.  Root(s): H3051",
H3474,יָשַׁר,28,"to make) right, pleasant, prosperous",
H4487,מָנָה,28,"count, number, prepare, set, tell.",
H4541,מַסֵּכָה,28,"(by implication) a libation, i.e. league; (concretely) a coverlet (as if poured out)",
H4598,מְעִיל,28,"coat, mantle, robe.",
H5074,נָדַד,28,"flee, or (causatively) to drive away",
H5081,נָדִיבּ,28,"(hence) magnanimous; as noun, a grandee (sometimes a tyrant)",
H5488,סוּף,28,especially the papyrus,
H5648,עֲבַד,28,"`abad (ab-bad') v. 1. to do, make, prepare, keep, etc [(Aramaic) corresponding to H5647] KJV: X cut, do, execute, go on, make, move, work.  Root(s): H5647",
H5956,עָלַם,28,i.e. conceal (literally or figuratively),
H6346,פֶּחָה,28,"deputy, governor.",
H6413,פְּלֵיטָּה פְּלֵטָה,28,"(that is) escape(-d), remnant.",
H6539,פָּרַס,28,"an Eastern country, including its inhabitants",
H6601,פָּתָה,28,"usually figuratively (in a mental or moral sense) to be (causatively, make) simple or (in a sinister way) delude",
H7185,קָשָׁה,28,i.e. tough or severe (in various applications),
H7399,רְכוּשׁ רְכוּשׁ,28,"riches, substance.",
H7848,שִׁטָּה שִׁטִּים,28,meaning the sticks of wood) from the same as H7850],
H7939,שָׂכָר,28,"(by implication) compensation, benefit",
H8003,שָׁלֵם,28,"just, made ready, peaceable, perfect(-ed), quiet, Shalem (by mistake for a name), whole.",
H8066,שְׁמִינִי,28,eight,
H8181,שֵׂעָר שַׂעַר,28,X rough.,
H8251,שִׁקּוּץ שִׁקּוּץ,28,(especially) idolatrous; (concretely) an idol,
H8345,שִׁשִּׁי,28,ord. or (feminine) fractional,
H8392,תֵּבָה,28,a box,
H8433,תּוֹכֵחָה תּוֹכַחַת,28,"refutation, proof (even in defence)",
H8518,תָּלָה,28,to suspend (especially to gibbet),
H8577,תַּנִּין תַּנִּים,28,i.e. sea-serpent or jackal,
H8659,תַּרשִׁישׁ,28,(hence) the ephithet of a merchant vessel (as if for or from that port); (also) the name of a Persian and of an Israelite,
H117,אַדִּיר,27,"famous, gallant, glorious, goodly, lordly, mighty(- ier one), noble, principal, worthy.",
H361,אֵילָם אֵלָם אֵלַמָּה,27,i.e. a pale (or portico),
H606,אֱנָשׁ אֱנַשׁ,27,"enash (en-awsh') ((Aramaic) or renash (Aramaic) {en-ash'}) n-m. 1. a man [corresponding to H582] KJV: man, + whosoever.  Root(s): H582",
H1100,בְּלִיַעַל,27,"by extension, destruction, wickedness (often in connection with H0376, H0802, H1121, etc.)",
H2204,זָקֵן,27,be (wax) old (man).,
H2713,חָקַר,27,"(make) search (out), seek (out), sound, try.",
H2820,חָשַׂך,27,"spare, preserve",
H2856,חָתַם,27,"mark, seal (up), stop.",
H3104,יוֹבֵל יוֹבֵל,27,(hence) the instrument itself and the festival thus introduced,
H3727,כַּפּוֹרֶת,27,a lid (used only of the cover of the sacred Ark),
H3887,לוּץ,27,"(hence, from the effort to pronounce a foreign language) to interpret; (generally) intercede",
H4161,מוֹצָא מוֹצָא,27,"(hence) a source or product; specifically, dawn, the rising of the sun (the East), exportation, utterance, a gate, a fountain, a mine, a meadow (as producing grass)",
H4170,מוֹקֵשׁ מוֹקֵשׁ,27,"gin, (is) snare(-d), trap.",
H4546,מְסִלָּה,27,"specifically a viaduct, a staircase",
H5360,נְקָמָה,27,whether the act of the passion,
H5423,נָתַק,27,"burst, draw (away), lift up, pluck (away, off), pull (out), root out.",
H5818,עוּזִּיָה עוּזִּיָהוּ,27,the name of five Israelites,
H6341,פַּח,27,"(thin) plate, snare.",
H7136,קָרָה,27,"specifically, to impose timbers (for roof or floor)",
H7287,רָדָה,27,"specifically, to crumble off",
H7797,שׂוּשׂ שִׂישׂ,27,i.e. cheerful,
H7854,שָׂטָן,27,the arch-enemy of good,
H7967,שַׁלּוּם שַׁלּוּם,27,the name of fourteen Israelites,
H8052,שְׁמוּעָה,27,i.e. an announcement,
H8056,שָׂמֵַח,27,"joyful, (making) merry((-hearted), -ily), rejoice(-ing).",
H138,אֲדוֹנִיָה אֲדוֹנִיָהוּ,26,the name of three Israelites,
H191,אֱוִיל,26,(figuratively) silly,
H1263,בָּרוּך,26,the name of three Israelites,
H1290,בֶּרֶך,26,a knee,
H1952,הוֹן,26,"+ for nought, riches, substance, wealth.",
H2905,טּוּר,26,a row; (hence) a wall,
H3021,יָגַע,26,"to tire, to toil",
H3390,יְרוּשָׁלֵם,26,"Yruwshalem (yer-oo-shaw-lame') n/l. 1. founded peaceful 2. Jerushalem, the capital city of Israel [(Chald) Corresponding to H3389] KJV: Jerusalem.  Root(s): H3389",
H3394,יָרֵַח,26,the moon,
H3569,כּוּשִׁי,26,or descendant of Cush,
H3708,כַּעַס כַּעַשׂ,26,"angry, grief, indignation, provocation, provoking, X sore, sorrow, spite, wrath.",
H3867,לָוָה,26,also to borrow (as a form of obligation) or (caus.) to lend,
H4046,מַגֵּפָה,26,defeat,
H4692,מָצוֹר מָצוּר,26,"bulwark, defence, fenced, fortress, siege, strong (hold), tower.",
H4888,מִשׁחָה מָשׁחָה,26,ointment.,
H5071,נְדָבָה,26,(adjectively) spontaneous; (concretely) a spontaneous,
H5404,נֶשֶׁר,26,the eagle (or other large bird of prey),
H5410,נָתִיבּ נְתִיבָּה נְתִבָה,26,"X travel(-ler), way.",
H5591,סַעַר סְעָרָה,26,"tempest, whirlwind.",
H5713,עֵדָה,26,witness.,
H5787,עִוֵּר,26,people).,
H5833,עֶזרָה עֶזרָת,26,-er).,
H6035,עָנָו עָנָיו,26,"in mind (gentle) or circumstances (needy, especially saintly)",
H6504,פָּרַד,26,i.e. spread or separate (oneself),
H6510,פָּרָה,26,"heifer, kine.",
H6685,צּוֹם צּוֹם,26,a fast,
H6870,צְּרוּיָה,26,an Israelitess,
H6923,קָדַם,26,"(hence) to anticipate, hasten, meet (usually for help)",
H7270,רָגַל,26,(as denominative from H7272) to lead about,
H7358,רֶחֶם,26,womb.,
H7605,שְׁאָר,26,"remnant, residue, rest.",
H7761,שׂוּם,26,"suwm (soom) v. 1. + command, give, lay, make, + name, + regard, set [(Aramaic) corresponding to H7760]  Root(s): H7760",
H29,אֲבִיָה אֲבִיָהוּ,25,the name of several Israelite men and two Israelitesses,
H52,אֲבִישַׁי אַבשַׁי,25,an Israelite,
H200,אִוֶּלֶת,25,foolishly(-ness).,
H644,אָפָה,25,especially to bake,
H769,אַרנוֹן אַרנוֹן,25,"a river east of the Jordan, also its territory",
H895,בָּבֶל,25,Babel (baw-bel') n/l. 1. Babylon [(Aramaic) corresponding to H894]  Root(s): H894,
H957,בַּז,25,"prey, spoil(-ed).",
H1130,בֶּן ־ הֲדַד,25,the name of several Syrian kings,
H1396,גָּבַר,25,act insolently,
H1823,דְּמוּת,25,(adverbially) like,
H1897,הָגָה,25,"meditate, mourn, mutter, roar, X sore, speak, study, talk, utter.",
H2340,חִוִּי,25,one of the aboriginal tribes of Israel,
H2435,חִיצּוֹן,25,"outward, utter, without.",
H2438,חִירָם חִירוֹם,25,the name of two Tyrians,
H2532,חֶמדָּה,25,"goodly, pleasant, precious.",
H2672,חָצַב חָצֵב,25,"(by implication) to hew, split, square, quarry, engrave",
H2833,חוֹשֶׁן,25,"or rich (as containing gems), used only of the gorget of the highpriest",
H2963,טָּרַף,25,"X without doubt, feed, ravin, rend in pieces, X surely, tear (in pieces).",
H3996,מָבוֹא,25,(adverb with preposition) towards,
H4539,מָסָך,25,i.e. veil,
H4775,מָרַד,25,to rebel,
H4918,מְשׁוּלָּם,25,the name of seventeen Israelites,
H5006,נָאַץ,25,"(give occasion to) blaspheme, contemn, despise, flourish, X great, provoke.",
H5028,נְבָט,25,the father of Jeroboam I,
H5034,נָבֵל,25,(figuratively) to be foolish or (morally) wicked,
H5110,נוּד,25,"(figuratively) to wander, flee, disappear; (from shaking the head in sympathy) to console, deplore",
H5145,נֶזֶר נֵזֶר,25,concretely) unshorn locks,
H5258,נָסַך,25,"by analogy, to anoint a king",
H5344,נָקַב,25,"literally (to perforate, with more or less violence) or figuratively (to specify, designate, libel)",
H5699,עֲגָלָה,25,i.e. a wheeled vehicle,
H6227,עָשָׁן,25,"literally or figuratively (vapor, dust, anger)",
H6342,פָּחַד,25,"stand in awe, (be in) fear, make to shake.",
H6372,פִּינְחָס,25,the name of three Israelites,
H6403,פָּלַט,25,"causatively, to deliver",
H6532,פּוֹרֶכֶת,25,i.e. (the sacred) screen,
H6597,פִּתאוֹם פִּתאוֹם,25,sudden(-ly).,
H7337,רָחַב,25,literal or figurative),
H7497,רָפָא רָפָה,25,"Rapha, Rephaim(-s). See also H1051.",
H7701,שׁוֹד שׁוֹד,25,ravage,
H7837,שַׁחַר,25,figurative or adverbial),
